avots,id,nosaukums,url,diena,cves,tips
0day,Suffering-From-1-0-XSS-Vulnerability,Suffering From 1.0 XSS Vulnerability,,,,xss
0day,Wazzum-Dating-Software-Mullti-Vulnerability,Wazzum Dating Software Mullti Vulnerability,,,,
0day,Nokia-Application-Installer-6-81-13-0-DLL-Hijacking-Exploit,Nokia Application Installer 6.81.13.0 DLL Hijacking Exploit,,,,
0day,Borland-Delphi-7-Crash,Borland Delphi 7 Crash,,,,dos
0day,Joomla-Component-com-jeeventcalendar-Local-File-Inclusion,Joomla Component com_jeeventcalendar Local File Inclusion,,,,lfi
0day,MySql-version-5-2-Change-password-length-shell,MySql version 5.2 Change password length shell,,,,
0day,Winamp-v5-541-DLL-Hijacking-Exploit,Winamp v5.541 DLL Hijacking Exploit,,,,
0day,e2eSoft-VCam-DLL-Hijacking-Exploit-ippopencv100-dll-ippcv-6-1-dl,e2eSoft VCam DLL Hijacking Exploit (ippopencv100.dll & ippcv-6.1.dll),,,,
0day,dopdf-7-DLL-Hijacking-Exploit-dwmapi-dll-,dopdf-7 DLL Hijacking Exploit (dwmapi.dll),,,,
0day,WinMount-3-4-1020-Final-Commandline-Vulnerability,WinMount 3.4.1020 Final Commandline Vulnerability,,,,
0day,CobraScripts-SQL-Injection-Vulnerability,CobraScripts SQL Injection Vulnerability,,,,sqli
0day,Foxit-Reader-4-1-1-Stack-Overflow-Exploit,Foxit Reader 4.1.1 Stack Overflow Exploit,,,,overflow
0day,Qtweb-Browser-v3-5-DLL-Hijacking-Exploit,Qtweb Browser v3.5 DLL Hijacking Exploit,,,,
0day,PHP-Fusion-Teams-Structure-Infusion-Addon-SQL-Injection-Vulnerab,PHP-Fusion Teams Structure Infusion Addon SQL Injection Vulnerability,,,,sqli
0day,CakePHP-1-3-5-1-2-8-unserialize-Vulnerability,CakePHP <= 1.3.5 / 1.2.8 unserialize() Vulnerability,,,,
0day,Allomani-Audio-and-Video-Library-2-7-0-XSRF-Vulnerability-Add-Ad,Allomani Audio and Video Library 2.7.0 XSRF Vulnerability (Add Admin),,,,
0day,HP-Data-Protector-8-x-Remote-Command-Execution-Exploit,HP Data Protector 8.x - Remote Command Execution Exploit,,,CVE-2014-2623,
0day,TypeSetter-5-1-Cross-Site-Request-Forgery-Vulnerability,TypeSetter 5.1 Cross Site Request Forgery Vulnerability,,,,csrf
0day,Sticky-Notes-Widget-Version-3-0-6-Denial-of-Service-Exploit,Sticky Notes Widget Version 3.0.6 - Denial of Service Exploit,,,,dos
0day,NCH-Express-Invoice-Clear-Text-Password-Storage-and-Account-Take,NCH Express Invoice - Clear Text Password Storage and Account Takeover Exploit,,,CVE-2020-11560,
0day,Ultra-Mini-HTTPd-1-21-Denial-Of-Service-Exploit,Ultra Mini HTTPd 1.21 Denial Of Service Exploit,,2024-01-02 00:00:00+00:00,,dos
0day,FTPDMIN-0-96-Denial-Of-Service-Exploit,FTPDMIN 0.96 Denial Of Service Exploit,,2024-01-02 00:00:00+00:00,,dos
0day,Apache-2-4-55-mod-proxy-HTTP-Request-Smuggling-Exploit,Apache 2.4.55 mod_proxy HTTP Request Smuggling Exploit,,2024-01-02 00:00:00+00:00,CVE-2023-25690,
0day,WebCalendar-1-3-0-Cross-Site-Scripting-Vulnerability,WebCalendar 1.3.0 Cross Site Scripting Vulnerability,,2024-01-03 00:00:00+00:00,,xss
0day,CMSMS-2-2-19-Arbitrary-File-Upload-Vulnerability,CMSMS 2.2.19 Arbitrary File Upload Vulnerability,,2024-01-03 00:00:00+00:00,,
0day,minaliC-2-0-0-Denial-Of-Service-Exploit,minaliC 2.0.0 Denial Of Service Exploit,,2024-01-04 00:00:00+00:00,,dos
